date,vol_h00,vol_h01,vol_h02,vol_h03,vol_h04,vol_h05,vol_h06,vol_h07,vol_h08,vol_h09,vol_h10,vol_h11,vol_h12,vol_h13,vol_h14,vol_h15,vol_h16,vol_h17,vol_h18,vol_h19,vol_h20,vol_h21,vol_h22,vol_h23,occ_h00,occ_h01,occ_h02,occ_h03,occ_h04,occ_h05,occ_h06,occ_h07,occ_h08,occ_h09,occ_h10,occ_h11,occ_h12,occ_h13,occ_h14,occ_h15,occ_h16,occ_h17,occ_h18,occ_h19,occ_h20,occ_h21,occ_h22,occ_h23,dur_h00,dur_h01,dur_h02,dur_h03,dur_h04,dur_h05,dur_h06,dur_h07,dur_h08,dur_h09,dur_h10,dur_h11,dur_h12,dur_h13,dur_h14,dur_h15,dur_h16,dur_h17,dur_h18,dur_h19,dur_h20,dur_h21,dur_h22,dur_h23,vol11_h00,vol11_h01,vol11_h02,vol11_h03,vol11_h04,vol11_h05,vol11_h06,vol11_h07,vol11_h08,vol11_h09,vol11_h10,vol11_h11,vol11_h12,vol11_h13,vol11_h14,vol11_h15,vol11_h16,vol11_h17,vol11_h18,vol11_h19,vol11_h20,vol11_h21,vol11_h22,vol11_h23,sp_h00,sp_h01,sp_h02,sp_h03,sp_h04,sp_h05,sp_h06,sp_h07,sp_h08,sp_h09,sp_h10,sp_h11,sp_h12,sp_h13,sp_h14,sp_h15,sp_h16,sp_h17,sp_h18,sp_h19,sp_h20,sp_h21,sp_h22,sp_h23,ep_h00,ep_h01,ep_h02,ep_h03,ep_h04,ep_h05,ep_h06,ep_h07,ep_h08,ep_h09,ep_h10,ep_h11,ep_h12,ep_h13,ep_h14,ep_h15,ep_h16,ep_h17,ep_h18,ep_h19,ep_h20,ep_h21,ep_h22,ep_h23
2022-09-01,56.29166666666666,50.45833333333332,55.70833333333332,57.74999999999999,58.33333333333332,55.41666666666666,54.24999999999999,58.33333333333332,58.04166666666666,70.0,70.0,56.87499999999999,73.20833333333331,62.99999999999999,66.49999999999999,68.25,67.95833333333331,65.33333333333331,61.24999999999999,59.49999999999999,64.45833333333333,61.54166666666666,66.79166666666667,66.20833333333331,17.0,16.0,16.0,16.0,17.0,17.0,17.0,19.0,16.0,22.0,20.0,13.0,15.0,12.0,12.0,16.0,17.0,17.0,16.0,20.0,20.0,18.0,19.0,21.0,8.833333333333332,8.166666666666664,8.916666666666666,9.166666666666666,9.249999999999998,8.916666666666666,8.75,9.166666666666666,9.166666666666664,10.916666666666664,10.916666666666664,8.666666666666666,11.249999999999998,9.75,10.166666666666666,10.499999999999998,10.5,10.25,9.5,9.416666666666664,9.916666666666664,9.749999999999996,10.333333333333332,10.166666666666664,56.29166666666666,50.45833333333332,55.70833333333333,57.74999999999999,58.33333333333333,55.41666666666666,54.24999999999999,58.33333333333333,58.04166666666666,69.99999999999999,70.0,56.87499999999999,73.20833333333333,62.99999999999999,66.49999999999999,68.24999999999999,67.95833333333333,65.33333333333333,61.24999999999999,59.49999999999999,64.45833333333333,61.541666666666664,66.79166666666666,66.20833333333333,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.8325,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.035,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-02,69.70833333333333,70.58333333333333,72.33333333333331,72.04166666666664,70.87499999999999,70.58333333333331,71.45833333333331,69.12499999999999,67.08333333333334,68.83333333333333,64.45833333333333,72.33333333333331,78.45833333333333,79.04166666666666,81.08333333333331,78.45833333333333,74.08333333333331,72.04166666666666,62.99999999999999,61.24999999999999,61.54166666666666,60.08333333333333,60.66666666666666,65.625,21.0,19.0,19.0,20.0,20.0,19.0,21.0,21.0,19.0,20.0,18.0,20.0,18.0,21.0,20.0,20.0,22.0,20.0,16.0,20.0,18.0,17.0,18.0,19.0,10.75,10.916666666666664,11.083333333333332,11.083333333333332,10.916666666666666,10.833333333333332,10.999999999999998,10.583333333333332,10.416666666666664,10.499999999999998,9.916666666666664,11.166666666666664,12.333333333333332,12.249999999999996,12.58333333333333,12.08333333333333,11.499999999999998,11.166666666666664,9.916666666666664,9.833333333333332,10.0,9.666666666666664,9.916666666666666,10.666666666666666,69.70833333333333,70.58333333333333,72.33333333333333,72.04166666666666,70.87499999999999,70.58333333333333,71.45833333333333,69.12499999999999,67.08333333333333,68.83333333333333,64.45833333333333,72.33333333333333,78.45833333333333,79.04166666666666,81.08333333333333,78.45833333333333,74.08333333333331,72.04166666666666,62.99999999999999,61.24999999999999,61.541666666666664,60.08333333333333,60.66666666666666,65.62499999999999,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-03,66.49999999999999,65.91666666666666,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,61.24999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,18.0,18.0,18.0,18.0,9.999999999999998,10.0,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.999999999999998,9.25,9.0,9.0,9.0,9.0,66.5,65.91666666666666,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,61.24999999999999,59.5,59.5,59.5,59.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-04,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-05,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,59.49999999999999,60.66666666666666,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.166666666666668,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,60.666666666666664,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-06,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,65.62499999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.916666666666666,10.0,10.0,10.0,10.0,10.0,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,65.625,66.5,66.5,66.5,66.5,66.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-07,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-08,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-09,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,66.49999999999999,64.16666666666664,65.91666666666666,58.91666666666666,55.41666666666665,58.91666666666666,66.5,69.125,74.08333333333334,86.33333333333333,89.25,88.66666666666666,52.49999999999999,45.49999999999999,52.5,52.5,52.5,48.125,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,17.0,13.0,15.0,15.0,16.0,18.0,19.0,19.0,15.0,17.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.666666666666666,9.916666666666664,8.916666666666666,8.416666666666666,8.916666666666664,9.999999999999996,10.749999999999996,11.58333333333333,13.33333333333333,13.749999999999996,13.666666666666664,8.75,8.0,9.0,9.0,9.0,8.25,66.5,66.5,66.5,66.5,66.5,66.5,66.5,64.16666666666666,65.91666666666666,58.91666666666666,55.41666666666666,58.91666666666666,66.5,69.12499999999999,74.08333333333333,86.33333333333331,89.24999999999999,88.66666666666666,52.499999999999986,45.49999999999999,52.5,52.5,52.5,48.125,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
2022-09-10,58.33333333333334,46.66666666666666,45.49999999999999,45.49999999999999,47.24999999999999,52.5,52.5,52.5,50.45833333333333,49.0,46.08333333333332,41.99999999999999,41.99999999999999,41.99999999999999,48.99999999999999,47.24999999999999,41.99999999999999,36.16666666666666,36.74999999999999,52.5,52.5,52.5,49.58333333333333,49.0,18.0,19.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,17.0,17.0,12.0,12.0,12.0,13.0,13.0,12.0,16.0,15.0,18.0,18.0,18.0,18.0,17.0,9.833333333333332,8.166666666666666,8.0,8.0,8.25,9.0,9.0,9.0,8.416666666666666,7.999999999999999,7.583333333333333,6.999999999999999,6.999999999999999,6.999999999999999,7.999999999999998,7.749999999999998,6.999999999999999,6.166666666666666,6.333333333333333,9.0,9.0,9.0,8.166666666666666,7.999999999999999,58.33333333333333,46.66666666666666,45.49999999999999,45.49999999999999,47.24999999999999,52.5,52.5,52.5,50.45833333333333,49.0,46.08333333333333,41.999999999999986,41.999999999999986,41.999999999999986,48.999999999999986,47.249999999999986,41.999999999999986,36.16666666666666,36.74999999999999,52.5,52.5,52.5,49.58333333333333,49.0,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8560000000000001,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.657,0.8325,0.8325,0.657,0.657,0.6350000000000001,0.6350000000000001,0.7460000000000001,0.924,0.924,0.924,0.924,0.924,0.924,0.924,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.123,1.035,1.035,1.123,1.123,1.035,1.035,0.924
