station_id,longitude,latitude,primary_types,TAZID
1001,113.784724,22.714121,food and beverage services,559
1002,113.785002,22.7259,lifestyle services,558
1003,113.787971,22.735538,lifestyle services,558
1004,113.788126,22.693449,lifestyle services,596
1005,113.788126,22.693449,lifestyle services,596
1006,113.790987,22.731351,lifestyle services,594
1007,113.790987,22.731351,lifestyle services,594
1008,113.791756,22.698816,lifestyle services,596
1009,113.794798,22.716747,business and residential,595
1010,113.794798,22.716747,business and residential,595
1011,113.795042,22.716825,business and residential,595
1012,113.795042,22.716825,business and residential,595
1013,113.796557,22.728199,business and residential,594
1014,113.802875,22.689785,lifestyle services,598
1015,113.804285,22.743436,lifestyle services,587
1016,113.806076,22.673562,lifestyle services,553
1017,113.806362,22.747566,business and residential,587
1018,113.813599,22.77499,lifestyle services,576
1019,113.813758,22.668147,lifestyle services,552
1020,113.813758,22.668147,lifestyle services,552
1021,113.813893,22.732382,lifestyle services,588
1022,113.814009,22.732434,lifestyle services,588
1023,113.814083,22.773128,lifestyle services,576
1024,113.814433,22.773105,business and residential,576
1025,113.814433,22.773105,business and residential,576
1026,113.814433,22.773105,business and residential,576
1027,113.81453,22.73241,lifestyle services,588
1028,113.814955,22.734709,lifestyle services,587
1029,113.81544,22.70772,business and residential,592
1030,113.81544,22.70772,business and residential,592
1031,113.816086,22.735424,lifestyle services,587
1032,113.816457,22.737977,business and residential,587
1033,113.816864,22.732245,food and beverage services,588
1034,113.816864,22.732245,food and beverage services,588
1035,113.816868,22.659092,lifestyle services,552
1036,113.816951,22.732771,lifestyle services,588
1037,113.816951,22.732771,lifestyle services,588
1038,113.816985,22.733921,food and beverage services,587
1039,113.816985,22.733921,food and beverage services,587
1040,113.817222,22.703489,lifestyle services,592
1041,113.819553,22.747975,business and residential,585
1042,113.819783,22.771169,lifestyle services,576
1043,113.822971,22.768229,business and residential,576
1044,113.823965,22.731323,business and residential,584
1045,113.824374,22.647778,food and beverage services,1029
1046,113.824877,22.763476,business and residential,580
1047,113.82565,22.727942,food and beverage services,589
1048,113.82565,22.727942,food and beverage services,589
1049,113.825795,22.733191,business and residential,584
1050,113.826349,22.716272,lifestyle services,589
1051,113.827284,22.672488,business and residential,1028
1052,113.8273,22.752012,business and residential,580
1053,113.82838,22.728282,business and residential,589
1054,113.82838,22.728282,business and residential,589
1055,113.82838,22.728282,business and residential,589
1056,113.828819,22.71482,lifestyle services,589
1057,113.829524,22.771198,lifestyle services,575
1058,113.829739,22.7304,lifestyle services,584
1059,113.829771,22.722116,lifestyle services,589
1060,113.829897,22.732951,lifestyle services,584
1061,113.830914,22.720581,business and residential,589
1062,113.832054,22.713874,business and residential,582
1063,113.832858,22.724242,lifestyle services,589
1064,113.833016,22.722722,lifestyle services,589
1065,113.833452,22.727181,lifestyle services,589
1066,113.833747,22.721038,lifestyle services,589
1067,113.833747,22.721038,lifestyle services,589
1068,113.83419,22.71301,business and residential,582
1069,113.834711,22.641907,lifestyle services,1031
1070,113.834711,22.641907,lifestyle services,1031
1071,113.834988,22.634927,business and residential,1031
1072,113.835707,22.600407,lifestyle services,520
1073,113.837596,22.633479,lifestyle services,1031
1074,113.837761,22.742158,lifestyle services,580
1075,113.83804,22.625504,business and residential,1031
1076,113.838491,22.605773,business and residential,520
1077,113.838491,22.605773,business and residential,520
1078,113.839593,22.671026,lifestyle services,1032
1079,113.840037,22.637503,business and residential,1031
1080,113.840979,22.63656,business and residential,1031
1081,113.841113,22.637101,business and residential,1031
1082,113.841307,22.606709,lifestyle services,522
1083,113.841307,22.606709,lifestyle services,522
1084,113.841443,22.636479,business and residential,1031
1085,113.841816,22.606214,business and residential,522
1086,113.842376,22.637693,business and residential,1031
1087,113.842774,22.7206,business and residential,582
1088,113.84363,22.726903,food and beverage services,582
1089,113.843983,22.595693,lifestyle services,520
1090,113.846998,22.602568,lifestyle services,522
1091,113.846998,22.602568,lifestyle services,522
1092,113.847282,22.609198,food and beverage services,522
1093,113.847831,22.602124,business and residential,519
1094,113.847831,22.602124,business and residential,519
1095,113.848038,22.572502,lifestyle services,527
1096,113.848326,22.572635,lifestyle services,527
1097,113.84901,22.781845,lifestyle services,577
1098,113.84918,22.57424,lifestyle services,527
1099,113.84918,22.57424,lifestyle services,527
1100,113.849604,22.572622,lifestyle services,527
1101,113.850125,22.564051,lifestyle services,503
1102,113.850167,22.593366,lifestyle services,519
1103,113.85186,22.605827,lifestyle services,519
1104,113.852514,22.603132,business and residential,519
1105,113.853058,22.766131,lifestyle services,578
1106,113.853433,22.71356,food and beverage services,601
1107,113.854665,22.611685,business and residential,522
1108,113.854733,22.562281,lifestyle services,503
1109,113.855179,22.611119,business and residential,522
1110,113.855278,22.566642,lifestyle services,526
1111,113.855288,22.607174,business and residential,519
1112,113.855303,22.611936,business and residential,513
1113,113.855363,22.601238,lifestyle services,519
1114,113.855363,22.601238,lifestyle services,519
1115,113.855391,22.57092,lifestyle services,526
1116,113.855772,22.609421,business and residential,522
1117,113.855971,22.611978,lifestyle services,513
1118,113.856007,22.612175,lifestyle services,513
1119,113.856092,22.612233,lifestyle services,513
1120,113.856308,22.730137,business and residential,601
1121,113.856741,22.56679,lifestyle services,526
1122,113.857057,22.61084,business and residential,513
1123,113.85752,22.567721,lifestyle services,526
1124,113.857879,22.568642,food and beverage services,526
1125,113.857964,22.772703,lifestyle services,570
1126,113.858087,22.586088,business and residential,519
1127,113.858206,22.575802,lifestyle services,527
1128,113.85828,22.773103,business and residential,570
1129,113.85835,22.585807,lifestyle services,519
1130,113.858483,22.613352,business and residential,513
1131,113.858895,22.582831,lifestyle services,527
1132,113.858895,22.582831,lifestyle services,527
1133,113.859011,22.765804,business and residential,573
1134,113.859057,22.615196,lifestyle services,529
1135,113.859428,22.612197,lifestyle services,513
1136,113.859444,22.570953,lifestyle services,526
1137,113.859834,22.576519,lifestyle services,526
1138,113.860658,22.601418,business and residential,519
1139,113.860693,22.575073,lifestyle services,526
1140,113.861156,22.612196,lifestyle services,513
1141,113.861193,22.615941,lifestyle services,529
1142,113.861715,22.584554,business and residential,519
1143,113.862252,22.615362,lifestyle services,529
1144,113.86248,22.572367,food and beverage services,526
1145,113.862667,22.583094,lifestyle services,519
1146,113.862667,22.583094,lifestyle services,519
1147,113.863014,22.62068,business and residential,513
1148,113.863634,22.585192,food and beverage services,519
1149,113.863746,22.583958,lifestyle services,519
1150,113.863746,22.583958,lifestyle services,519
1151,113.863889,22.750932,lifestyle services,583
1152,113.864019,22.615153,lifestyle services,513
1153,113.864087,22.613655,lifestyle services,513
1154,113.864171,22.575448,food and beverage services,526
1155,113.864174,22.625239,business and residential,516
1156,113.864174,22.625239,business and residential,516
1157,113.86469,22.781156,business and residential,627
1158,113.86469,22.781156,business and residential,627
1159,113.86469,22.781156,business and residential,627
1160,113.864792,22.572926,food and beverage services,526
1161,113.864927,22.613987,lifestyle services,513
1162,113.865948,22.645428,food and beverage services,1032
1163,113.866441,22.567589,lifestyle services,526
1164,113.866689,22.618444,lifestyle services,513
1165,113.866916,22.617125,lifestyle services,513
1166,113.867031,22.565063,business and residential,526
1167,113.867368,22.558873,business and residential,502
1168,113.867697,22.614744,lifestyle services,513
1169,113.867997,22.614925,lifestyle services,513
1170,113.868041,22.618818,lifestyle services,513
1171,113.868041,22.618818,lifestyle services,513
1172,113.868511,22.585276,business and residential,519
1173,113.868922,22.578733,lifestyle services,528
1174,113.869585,22.575159,lifestyle services,526
1175,113.869808,22.554753,lifestyle services,502
1176,113.87032,22.818918,business and residential,568
1177,113.871624,22.774995,business and residential,631
1178,113.871956,22.565009,lifestyle services,525
1179,113.872893,22.563818,lifestyle services,525
1180,113.872897,22.582368,lifestyle services,528
1181,113.87297,22.58233,lifestyle services,528
1182,113.873174,22.554965,lifestyle services,502
1183,113.874326,22.560145,lifestyle services,525
1184,113.874488,22.555719,lifestyle services,502
1185,113.874745,22.561911,food and beverage services,525
1186,113.875053,22.766308,business and residential,638
1187,113.875174,22.572823,lifestyle services,528
1188,113.876044,22.667544,business and residential,1032
1189,113.876102,22.55507,business and residential,502
1190,113.876173,22.55723,lifestyle services,502
1191,113.876198,22.769367,lifestyle services,631
1192,113.876688,22.583731,lifestyle services,512
1193,113.877582,22.560468,lifestyle services,525
1194,113.877991,22.589083,food and beverage services,512
1195,113.878191,22.553755,lifestyle services,501
1196,113.878549,22.559228,lifestyle services,525
1197,113.879062,22.587126,lifestyle services,512
1198,113.880254,22.547034,lifestyle services,501
1199,113.881923,22.563732,lifestyle services,525
1200,113.88261,22.58015,business and residential,512
1201,113.883162,22.766258,food and beverage services,655
1202,113.883376,22.46557,business and residential,311
1203,113.883397,22.583217,lifestyle services,512
1204,113.883612,22.513823,lifestyle services,1015
1205,113.884043,22.478603,lifestyle services,311
1206,113.885401,22.592395,business and residential,512
1207,113.8859,22.791784,food and beverage services,632
1208,113.886103,22.509264,business and residential,1015
1209,113.886352,22.567454,lifestyle services,1097
1210,113.886492,22.5875,business and residential,512
1211,113.886492,22.5875,business and residential,512
1212,113.886514,22.508678,business and residential,1015
1213,113.886698,22.510958,business and residential,1015
1214,113.887207,22.768778,business and residential,631
1215,113.887207,22.768778,business and residential,631
1216,113.887339,22.588945,business and residential,512
1217,113.88751,22.582992,business and residential,512
1218,113.887706,22.509936,business and residential,1015
1219,113.88807,22.765746,business and residential,655
1220,113.888291,22.489926,business and residential,310
1221,113.888291,22.50086,lifestyle services,309
1222,113.888342,22.549722,lifestyle services,501
1223,113.888424,22.583437,business and residential,512
1224,113.888679,22.734406,business and residential,637
1225,113.889006,22.582289,lifestyle services,508
1226,113.889454,22.55822,lifestyle services,501
1227,113.889517,22.557863,lifestyle services,501
1228,113.889609,22.559026,food and beverage services,1098
1229,113.889665,22.781237,lifestyle services,630
1230,113.88969,22.586028,lifestyle services,512
1231,113.89019,22.569999,lifestyle services,508
1232,113.890581,22.591628,lifestyle services,512
1233,113.890616,22.561747,lifestyle services,1098
1234,113.890783,22.717825,lifestyle services,643
1235,113.890871,22.581447,food and beverage services,508
1236,113.890974,22.581663,business and residential,508
1237,113.891257,22.747052,lifestyle services,638
1238,113.891401,22.563311,lifestyle services,1098
1239,113.891552,22.562918,business and residential,1098
1240,113.891701,22.573339,lifestyle services,508
1241,113.892007,22.498369,business and residential,309
1242,113.892075,22.724006,business and residential,637
1243,113.89208,22.487667,lifestyle services,311
